club_nom,pays,url,latitude,longitude
ALFORTVILLE US,France,https://www.google.com/maps/search/?api=1&query=%22ALFORTVILLE+US%22+tennis+de+table+France,48.810631,2.414197
ALICANTE TM,Espagne,https://www.google.com/maps/search/?api=1&query=%22ALICANTE+TM%22+tenis+de+mesa+Espa%C3%B1a,37.932810,-0.727273
ALIZAY TT,France,https://www.google.com/maps/search/?api=1&query=%22ALIZAY+TT%22+tennis+de+table+France,49.319122,1.176615
ALLERY TT,France,https://www.google.com/maps/search/?api=1&query=%22ALLERY+TT%22+tennis+de+table+France,49.965972,1.904652
ALLIANCE NIMES-MONTPELLIER TT,France,https://www.google.com/maps/search/?api=1&query=%22ALLIANCE+NIMES-MONTPELLIER+TT%22+tennis+de+table+France,43.619507,3.869171
ALLIANCE SAINT CLAUDIENNE T.T.,France,https://www.google.com/maps/search/?api=1&query=%22ALLIANCE+SAINT+CLAUDIENNE+T.T.%22+tennis+de+table+France,16.017014,-61.714161
ALLIANZ ASC,France,https://www.google.com/maps/search/?api=1&query=%22ALLIANZ+ASC%22+tennis+de+table+France,48.858200,2.259786
ALLONNES VILLEBERNIER,France,https://www.google.com/maps/search/?api=1&query=%22ALLONNES+VILLEBERNIER%22+tennis+de+table+France,47.295043,0.030803
ALLOUAGNE AL,France,https://www.google.com/maps/search/?api=1&query=%22ALLOUAGNE+AL%22+tennis+de+table+France,50.527156,2.504674
ALMENDRALEJO,Espagne,https://www.google.com/maps/search/?api=1&query=%22ALMENDRALEJO%22+tenis+de+mesa+Espa%C3%B1a,38.684679,-6.406780
ALPILLES TT EYGUIERES,France,https://www.google.com/maps/search/?api=1&query=%22ALPILLES+TT+EYGUIERES%22+tennis+de+table+France,43.685891,5.029410
ALTTAN AUBIGNY/NESMY T.T. (A.L.),France,https://www.google.com/maps/search/?api=1&query=%22ALTTAN+AUBIGNY%2FNESMY+T.T.+%28A.L.%29%22+tennis+de+table+France,46.597560,-1.456431
ALUCHE,Espagne,https://www.google.com/maps/search/?api=1&query=%22ALUCHE%22+tenis+de+mesa+Espa%C3%B1a,40.392356,-3.757110
AM PONG. CHEVRIARDS,France,https://www.google.com/maps/search/?api=1&query=%22AM+PONG.+CHEVRIARDS%22+tennis+de+table+France,48.727090,2.657190
AMAS PAYRAC TT,France,https://www.google.com/maps/search/?api=1&query=%22AMAS+PAYRAC+TT%22+tennis+de+table+France,44.801946,1.475410
AMBRIERES TTC,France,https://www.google.com/maps/search/?api=1&query=%22AMBRIERES+TTC%22+tennis+de+table+France,48.401661,-0.633782
AMFTT,France,https://www.google.com/maps/search/?api=1&query=%22AMFTT%22+tennis+de+table+France,49.548152,1.072961
AMIC SPORTIVE ROUTOTOISE,France,https://www.google.com/maps/search/?api=1&query=%22AMIC+SPORTIVE+ROUTOTOISE%22+tennis+de+table+France,49.379221,0.728802
AMICALE BOISSEENNE DE TT,France,https://www.google.com/maps/search/?api=1&query=%22AMICALE+BOISSEENNE+DE+TT%22+tennis+de+table+France,48.751483,2.518344
AMICALE CH.BLOIS,France,https://www.google.com/maps/search/?api=1&query=%22AMICALE+CH.BLOIS%22+tennis+de+table+France,47.576584,1.308234
AMICALE EPERNON,France,https://www.google.com/maps/search/?api=1&query=%22AMICALE+EPERNON%22+tennis+de+table+France,48.602602,1.673858
AMICALE PONG PACY MENILLES,France,https://www.google.com/maps/search/?api=1&query=%22AMICALE+PONG+PACY+MENILLES%22+tennis+de+table+France,49.017570,1.384654
AMICALE PONGISTE BOUCLANS,France,https://www.google.com/maps/search/?api=1&query=%22AMICALE+PONGISTE+BOUCLANS%22+tennis+de+table+France,47.246130,6.229008
AMICALE PONGISTE D ANDREST,France,https://www.google.com/maps/search/?api=1&query=%22AMICALE+PONGISTE+D+ANDREST%22+tennis+de+table+France,43.316256,0.063847
Amicale Pongiste de Ouistreham,France,https://www.google.com/maps/search/?api=1&query=%22Amicale+Pongiste+de+Ouistreham%22+tennis+de+table+France,49.282833,-0.253803
Amicale Pongiste Ennezat,France,https://www.google.com/maps/search/?api=1&query=%22Amicale+Pongiste+Ennezat%22+tennis+de+table+France,45.898998,3.225408
